PERMNO,date,TICKER,PRC,RET
10107,20090130,MSFT,17.10000,-0.120370
10107,20090227,MSFT,16.15000,-0.047953
10107,20090331,MSFT,18.37000,0.137461
10107,20090430,MSFT,20.26000,0.102885
10107,20090529,MSFT,20.89000,0.037512
10107,20090630,MSFT,23.77000,0.137865
10107,20090731,MSFT,23.52000,-0.010517
10107,20090831,MSFT,24.65000,0.053571
10107,20090930,MSFT,25.72000,0.043408
10107,20091030,MSFT,27.73000,0.078149
10107,20091130,MSFT,29.41000,0.065272
10107,20091231,MSFT,30.48000,0.036382
10107,20100129,MSFT,28.18000,-0.075459
10107,20100226,MSFT,28.67000,0.022001
10107,20100331,MSFT,29.28750,0.021538
10107,20100430,MSFT,30.53500,0.042595
10107,20100528,MSFT,25.80000,-0.150811
10107,20100630,MSFT,23.01000,-0.108140
10107,20100730,MSFT,25.81000,0.121686
10107,20100831,MSFT,23.46500,-0.085819
10107,20100930,MSFT,24.49000,0.043682
10107,20101029,MSFT,26.66500,0.088812
10107,20101130,MSFT,25.25750,-0.046784
10107,20101231,MSFT,27.91000,0.105018
10107,20110131,MSFT,27.72500,-0.006628
10107,20110228,MSFT,26.58000,-0.035528
10107,20110331,MSFT,25.39000,-0.044771
10107,20110429,MSFT,25.92000,0.020874
10107,20110531,MSFT,25.01000,-0.028935
10107,20110630,MSFT,26.00000,0.039584
10107,20110729,MSFT,27.40000,0.053846
10107,20110831,MSFT,26.60000,-0.023358
10107,20110930,MSFT,24.89000,-0.064286
10107,20111031,MSFT,26.63000,0.069908
10107,20111130,MSFT,25.58000,-0.031919
10107,20111230,MSFT,25.96000,0.014855
10107,20120131,MSFT,29.53000,0.137519
10107,20120229,MSFT,31.74000,0.081612
10107,20120330,MSFT,32.25500,0.016226
10107,20120430,MSFT,32.01500,-0.007441
10107,20120531,MSFT,29.19000,-0.081993
10107,20120629,MSFT,30.59000,0.047962
10107,20120731,MSFT,29.47000,-0.036613
10107,20120831,MSFT,30.82000,0.052596
10107,20120928,MSFT,29.76000,-0.034393
10107,20121031,MSFT,28.54000,-0.040995
10107,20121130,MSFT,26.61500,-0.059390
10107,20121231,MSFT,26.70970,0.003558
10107,20130131,MSFT,27.45000,0.027717
10107,20130228,MSFT,27.80000,0.021129
10107,20130328,MSFT,28.60500,0.028957
10107,20130430,MSFT,33.10000,0.157140
10107,20130531,MSFT,34.90000,0.061329
10107,20130628,MSFT,34.54500,-0.010172
10107,20130731,MSFT,31.84000,-0.078304
10107,20130830,MSFT,33.40000,0.056219
10107,20130930,MSFT,33.28000,-0.003593
10107,20131031,MSFT,35.40500,0.063852
10107,20131129,MSFT,38.13000,0.084875
10107,20131231,MSFT,37.41000,-0.018883
10107,20140131,MSFT,37.84000,0.011494
10107,20140228,MSFT,38.31000,0.019820
